날짜,금융투자,보험,투신,은행,기타금융,연기금등,기타법인,개인,외국인,합계
2015-12,"420,655","16,132","19,333","103,255",22,"10,868","8,451","23,381","239,861","841,958"
2015-11,"491,344","15,462","17,899","104,286",45,"7,157","9,436","32,462","204,234","882,325"
2015-10,"574,967","15,388","16,385","111,767",26,"6,379","10,569","27,564","219,309","982,354"
2015-09,"601,887","21,787","20,094","121,599",40,"9,998","9,335","26,858","329,732","1,141,330"
2015-08,"487,496","13,058","14,142","82,637",10,"4,336","6,593","25,166","291,956","925,394"
2015-07,"472,655","12,590","14,018","80,885",20,"3,228","7,907","30,363","231,528","853,194"
2015-06,"654,330","21,105","27,401","130,283",35,"10,229","3,829","51,869","342,359","1,241,440"
2015-05,"589,022","16,359","17,854","88,112",75,"5,089","2,077","38,567","299,327","1,056,482"
2015-04,"628,496","12,294","20,488","98,371",0,"6,347","4,064","43,656","240,792","1,054,508"
2015-03,"621,188","14,837","21,256","122,426",10,"10,593","2,758","44,271","282,914","1,120,253"
2015-02,"418,450","8,391","13,409","77,907",94,"4,397","2,880","31,763","190,053","747,344"
2015-01,"515,687","8,676","15,547","91,260",70,"4,880","3,806","45,637","262,540","948,103"
합계,"44,427,816","1,199,505","2,196,484","9,616,379","99,938","673,186","459,673","1,686,279","34,571,916","94,931,176"
