날짜,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03
      주택담보대출,3.34,3.24,2.97,2.81,3.06,3.01,2.96,2.94,2.92,2.9,3.04,3.12,3.1,2.99,2.97,2.93,2.89,2.77,2.66,2.7,2.8,2.89,3.04,3.13,3.16,3.19,3.21,3.21,3.26,3.22,3.28,3.28,3.24,3.33,3.39,3.42,3.47,3.46,3.45,3.47,3.49,3.46,3.44,3.36,3.29,3.31,3.28,3.19,3.12,3.08,3.04,2.98,2.93,2.74,2.64,2.47,2.51,2.5,2.45,2.45,2.51,2.52,2.48,2.58,2.52,2.49,2.45,2.39,2.44,2.47,2.56,2.59,2.63,2.66,2.73
      일반신용대출,4.99,4.88,4.75,4.46,4.53,4.46,4.41,4.34,4.4,4.41,4.44,4.47,4.56,4.47,4.6,4.48,4.48,4.29,4.24,4.24,4.31,4.28,4.35,4.44,4.51,4.46,4.61,4.52,4.45,4.41,4.44,3.78,4.01,4.15,4.3,4.38,4.39,4.34,4.48,4.49,4.56,4.57,4.56,4.47,4.39,4.45,4.56,4.64,4.57,4.49,4.63,4.54,4.4,4.23,3.96,3.63,3.86,3.9,3.9,3.87,3.83,3.7,3.49,3.5,3.33,2.93,2.92,2.86,2.89,3.15,3.01,3.5,3.46,3.61,3.7
