날짜,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04
국고채_3년,2.039,2.024,1.865,1.739,1.875,1.773,1.777,1.735,1.651,1.627,1.752,1.719,1.628,1.474,1.498,1.468,1.455,1.334,1.218,1.238,1.312,1.361,1.609,1.692,1.643,1.665,1.709,1.678,1.69,1.673,1.74,1.78,1.785,2.026,2.15,2.1,2.19,2.277,2.271,2.192,2.25,2.175,2.097,2.019,1.953,2.01,1.94,1.825,1.807,1.802,1.789,1.736,1.679,1.496,1.382,1.164,1.287,1.357,1.492,1.39,1.373,1.253,1.091,1.024,0.878,0.85,0.826,0.829,0.908,0.91,0.965,0.97,0.975,0.995,1.133,1.138
국고채_5년,2.158,2.116,1.969,1.857,2.11,2.04,2.048,1.946,1.846,1.784,1.945,1.902,1.772,1.586,1.611,1.569,1.551,1.406,1.246,1.264,1.353,1.412,1.739,1.873,1.821,1.861,1.909,1.859,1.906,1.864,1.942,1.987,1.989,2.247,2.355,2.298,2.444,2.537,2.501,2.436,2.532,2.442,2.338,2.242,2.128,2.164,2.048,1.893,1.879,1.869,1.838,1.771,1.716,1.53,1.421,1.201,1.353,1.442,1.593,1.481,1.479,1.357,1.266,1.26,1.129,1.127,1.094,1.092,1.194,1.196,1.295,1.323,1.316,1.348,1.55,1.577
