날짜,금융투자,보험,투신,은행,기타금융,연기금등,기타법인,개인,외국인,합계
2016-03,"702,763","25,171","27,535","155,712",53,"13,540","7,665","19,476","410,567","1,362,482"
2016-02,"445,776","15,812","13,707","94,905",56,"6,269","7,461","19,374","287,167","890,527"
2016-01,"503,380","15,754","14,953","113,632",16,"6,656","9,480","19,974","284,725","968,570"
2015-12,"424,961","17,691","21,344","97,360",21,"12,213","8,350","23,223","236,795","841,958"
2015-11,"487,787","13,360","18,669","106,255",46,"5,721","9,531","32,730","208,226","882,325"
2015-10,"570,961","19,051","16,490","104,536",11,"6,450","10,535","27,471","226,849","982,354"
2015-09,"603,761","21,073","19,499","120,337",45,"12,096","9,404","26,893","328,222","1,141,330"
2015-08,"486,244","13,249","13,459","84,511",60,"4,710","6,594","24,993","291,574","925,394"
2015-07,"482,889","13,278","14,243","83,587",15,"4,023","8,023","30,472","216,664","853,194"
2015-06,"657,419","19,428","27,007","129,352",45,"12,496","3,036","52,050","340,607","1,241,440"
2015-05,"597,010","14,515","18,849","81,977",10,"5,024","1,922","38,719","298,456","1,056,482"
2015-04,"625,600","13,261","22,097","100,476",15,"5,303","4,601","43,389","239,766","1,054,508"
2015-03,"627,555","15,644","20,254","122,672",15,"9,389","3,186","44,769","276,769","1,120,253"
2015-02,"412,679","7,721","12,390","81,324",104,"3,859","2,939","31,923","194,405","747,344"
2015-01,"520,361","8,364","15,669","90,622",70,"6,358","3,724","45,090","257,845","948,103"
합계,"44,426,840","1,203,881","2,212,053","9,630,103","100,129","674,118","459,378","1,682,304","34,542,370","94,931,176"
